iter	Logloss
0	0.6898473255
1	0.6894743026
2	0.6864849133
3	0.6843543797
4	0.682020037
5	0.6808894049
6	0.6781270978
7	0.6761937869
8	0.6734073811
9	0.6710162871
10	0.6690750625
11	0.666104091
12	0.663154079
13	0.6616804334
14	0.659513903
15	0.6586918185
16	0.6572805947
17	0.655098781
18	0.6532318288
19	0.6507073667
20	0.6495669508
21	0.6468425276
22	0.6443864679
23	0.6435951839
24	0.6419871856
25	0.6400575183
26	0.6393465328
27	0.6381432744
28	0.6358058194
29	0.634627578
30	0.6326328427
31	0.6324305022
32	0.6301901185
33	0.6288507653
34	0.6265454647
35	0.6242878983
36	0.6219081393
37	0.6201700451
38	0.6184102452
39	0.6170395407
40	0.6161318182
41	0.6147732438
42	0.6138801374
43	0.6118780726
44	0.611051587
45	0.6088293183
46	0.6071707084
47	0.6065441358
48	0.6053896501
49	0.6030036139
50	0.6012857023
51	0.5997002733
52	0.5976224841
53	0.5961055574
54	0.5938387836
55	0.5931451888
56	0.5918968801
57	0.5899663572
58	0.5885467168
59	0.5865577423
60	0.5852077436
61	0.5847426485
62	0.5835511955
63	0.5827195697
64	0.5819959085
65	0.5800909692
66	0.5796176403
67	0.5789633475
68	0.5769026507
69	0.5765232506
70	0.5757406718
71	0.5744641418
72	0.5737139348
73	0.5718873292
74	0.5702651622
75	0.5698682824
76	0.5684614644
77	0.5666874324
78	0.5659585322
79	0.5643922344
80	0.5630888352
81	0.5619154209
82	0.5605078565
83	0.5596081595
84	0.5591438671
85	0.5577126804
86	0.5575456291
87	0.5567117379
88	0.5558500529
89	0.5543333881
90	0.5528413862
91	0.5511998606
92	0.5505208756
93	0.5491852782
94	0.5478392026
95	0.5467608346
96	0.5456628416
97	0.5447136724
98	0.5439595183
99	0.5435398877
100	0.5431684789
101	0.5417974486
102	0.5412622223
103	0.5397564192
104	0.5393040202
105	0.5383202491
106	0.5377341219
107	0.5367204614
108	0.5352921043
109	0.5350303894
110	0.5343326503
111	0.5336327747
112	0.5331842425
113	0.5323970588
114	0.532296089
115	0.531986153
116	0.5314123109
117	0.5305674315
118	0.5296723029
119	0.5283021158
120	0.5280154364
121	0.5272824645
122	0.5259212421
123	0.5246968126
124	0.5233808718
125	0.5224518321
126	0.5212766991
127	0.5210062378
128	0.520515915
129	0.5199054118
130	0.5196239228
131	0.5192059502
132	0.5178464558
133	0.5170066223
134	0.515847581
135	0.5154935477
136	0.5143807161
137	0.513364556
138	0.5126973716
139	0.5123510741
140	0.5121180197
141	0.5111254503
142	0.5104113382
143	0.5094909419
144	0.5091942549
145	0.5089711257
146	0.5077249007
147	0.5072898473
148	0.5067051691
149	0.5064258786
150	0.5061173676
151	0.5055301997
152	0.5054645104
153	0.5042996881
154	0.5040945791
155	0.5039385382
156	0.5038645241
157	0.5032445237
158	0.5025732563
159	0.5018885541
160	0.5012041305
161	0.5011627317
162	0.5008231143
163	0.500634715
164	0.4997521501
165	0.498930074
166	0.4980904471
167	0.4970602354
168	0.4970234522
169	0.4964800246
170	0.495571173
171	0.4946575676
172	0.4945311865
173	0.4935202178
174	0.4933483295
175	0.4924924801
176	0.4917476357
177	0.491308302
178	0.4905855394
179	0.4897346335
180	0.4896065486
181	0.4889638639
182	0.4881780821
183	0.4880019854
184	0.4878878289
185	0.4877328484
186	0.4876217755
187	0.4867010174
188	0.4860131139
